perimetre,millesime,tarif,rang,taux_taxation,composante_carbone,boucliers_et_aides,prix_quotas_ets,prix_reel_quotas_ets,remboursement_indirect_ets,quantite,unite_tarif,unite_quantite
Carbone,2016,21.401540934,1,21.40154093416553,22.0,0.0,0.0,0.0,0.0,29.787976222,euro/tCO2,MtCO2
Carbone,2016,21.608810818,1,21.60881081834658,22.0,0.0,0.0,0.0,0.0,15.179847545,euro/tCO2,MtCO2
Carbone,2016,22.051282051,1,22.05128205128205,22.0,0.0,0.0,0.0,0.0,0.181518843,euro/tCO2,MtCO2
Carbone,2016,26.868655929,1,21.60881081834658,22.0,0.0,5.259845110198853,0.0,0.0,1.525626822,euro/tCO2,MtCO2
Carbone,2016,26.868655929,2,21.60881081834658,22.0,0.0,5.259845110198853,5.259845110198853,0.0,0.039986131,euro/tCO2,MtCO2
Carbone,2016,27.311127161,1,22.05128205128205,22.0,0.0,5.259845110198853,0.0,0.0,0.379526425,euro/tCO2,MtCO2
Carbone,2016,27.311127161,2,22.05128205128205,22.0,0.0,5.259845110198853,5.259845110198853,0.0,0.041129786,euro/tCO2,MtCO2
Carbone,2016,29.05,1,29.05,0.0,0.0,0.0,0.0,0.0,11.276182194,euro/tCO2,MtCO2
Carbone,2016,35.552088385,1,35.55208838485084,22.0,0.0,0.0,0.0,0.0,12.91764988,euro/tCO2,MtCO2
Carbone,2016,35.89640365,1,35.89640365002685,22.0,0.0,0.0,0.0,0.0,7.520325117,euro/tCO2,MtCO2
Carbone,2016,41.15624876,1,35.89640365002685,22.0,0.0,5.259845110198853,0.0,0.0,0.16955603,euro/tCO2,MtCO2
Carbone,2016,41.15624876,2,35.89640365002685,22.0,0.0,5.259845110198853,5.259845110198853,0.0,0.022300257,euro/tCO2,MtCO2
Carbone,2016,42.169801431,1,42.16980143064145,22.0,0.0,0.0,0.0,0.0,2.834657349,euro/tCO2,MtCO2
Carbone,2016,47.429646541,1,42.16980143064145,22.0,0.0,5.259845110198853,0.0,0.0,0.091834757,euro/tCO2,MtCO2
Carbone,2016,47.429646541,2,42.16980143064145,22.0,0.0,5.259845110198853,5.259845110198853,0.0,0.013771486,euro/tCO2,MtCO2
Carbone,2016,47.824595932,1,47.82459593248644,22.0,0.0,0.0,0.0,0.0,1.60060755,euro/tCO2,MtCO2
Carbone,2016,53.084441043,1,47.82459593248644,22.0,0.0,5.259845110198853,0.0,0.0,0.422158946,euro/tCO2,MtCO2
Carbone,2016,53.084441043,2,47.82459593248644,22.0,0.0,5.259845110198853,5.259845110198853,0.0,0.053220587,euro/tCO2,MtCO2
Carbone,2016,57.301681299,1,57.30168129920323,22.0,0.0,0.0,0.0,0.0,0.204920753,euro/tCO2,MtCO2
Carbone,2016,112.572314666,1,112.5723146657124,0.0,0.0,0.0,0.0,0.0,0.403636065,euro/tCO2,MtCO2
Carbone,2016,146.083079859,1,146.0830798592473,0.0,0.0,0.0,0.0,0.0,2.397802598,euro/tCO2,MtCO2
Carbone,2016,150.788237077,1,150.7882370774595,22.0,0.0,0.0,0.0,0.0,0.885642705,euro/tCO2,MtCO2
Carbone,2016,154.785994604,1,154.7859946038754,0.0,0.0,0.0,0.0,0.0,0.033305316,euro/tCO2,MtCO2
Carbone,2016,157.848002596,1,157.8480025960228,22.0,0.0,0.0,0.0,0.0,0.531440349,euro/tCO2,MtCO2
Carbone,2016,160.993320212,1,160.9933202123218,0.0,0.0,0.0,0.0,0.0,19.703512875,euro/tCO2,MtCO2
Carbone,2016,185.669767997,1,185.6697679966601,22.0,0.0,0.0,0.0,0.0,2.159514779,euro/tCO2,MtCO2
Carbone,2016,190.701974116,1,190.7019741158228,22.0,0.0,0.0,0.0,0.0,76.982555977,euro/tCO2,MtCO2
Carbone,2016,237.587861734,1,237.5878617335646,22.0,0.0,0.0,0.0,0.0,0.591493008,euro/tCO2,MtCO2
Carbone,2016,242.584788113,1,242.5847881132361,22.0,0.0,0.0,0.0,0.0,0.046012683,euro/tCO2,MtCO2
Carbone,2016,245.345751256,1,245.3457512555552,22.0,0.0,0.0,0.0,0.0,0.71883803,euro/tCO2,MtCO2
Carbone,2016,270.761001369,1,270.7610013685491,22.0,0.0,0.0,0.0,0.0,7.225980116,euro/tCO2,MtCO2
Carbone,2016,276.455622215,1,276.4556222151393,22.0,0.0,0.0,0.0,0.0,0.870236354,euro/tCO2,MtCO2
Carbone,2016,279.602084074,1,279.6020840743495,22.0,0.0,0.0,0.0,0.0,13.595359926,euro/tCO2,MtCO2
Carbone,2017,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,124.112867644,euro/tCO2,MtCO2
Carbone,2017,0.592499651,1,0.5924996514707932,0.0,0.0,0.0,0.0,0.0,0.385806863,euro/tCO2,MtCO2
Carbone,2017,0.594729345,1,0.5947293447293448,0.0,0.0,0.0,0.0,0.0,0.06240156,euro/tCO2,MtCO2
Carbone,2017,3.089304258,1,3.089304257528557,0.0,0.0,0.0,0.0,0.0,0.154250063,euro/tCO2,MtCO2
Carbone,2017,3.272827283,1,3.272827282728273,0.0,0.0,0.0,0.0,0.0,0.023658405,euro/tCO2,MtCO2
Carbone,2017,3.494244773,1,3.494244773314541,0.0,0.0,0.0,0.0,0.0,0.622200739,euro/tCO2,MtCO2
Carbone,2017,4.08,1,4.08,0.0,0.0,0.0,0.0,0.0,8.52042986,euro/tCO2,MtCO2
Carbone,2017,5.773452091,1,0.0,0.0,0.0,5.77345209116945,0.0,0.0,57.357682059,euro/tCO2,MtCO2
Carbone,2017,5.773452091,2,0.0,0.0,0.0,5.77345209116945,1.828568258520311,3.94488383264914,17.231336979,euro/tCO2,MtCO2
Carbone,2017,5.773452091,3,0.0,0.0,0.0,5.77345209116945,5.77345209116945,0.0,6.297566188,euro/tCO2,MtCO2
Carbone,2017,7.568062775,1,7.568062775089124,0.0,0.0,0.0,0.0,0.0,0.699276545,euro/tCO2,MtCO2
Carbone,2017,7.966381869,1,7.966381868514868,7.0,0.0,0.0,0.0,0.0,0.702367427,euro/tCO2,MtCO2
Carbone,2017,8.862756349,1,3.089304257528557,0.0,0.0,5.77345209116945,0.0,0.0,0.136860831,euro/tCO2,MtCO2
Carbone,2017,8.862756349,2,3.089304257528557,0.0,0.0,5.77345209116945,5.77345209116945,0.0,0.027164782,euro/tCO2,MtCO2
Carbone,2017,9.046279374,1,3.272827282728273,0.0,0.0,5.77345209116945,0.0,0.0,0.024872,euro/tCO2,MtCO2
