perimetre,regime,produit,millesime,part,source
Energie,Gazole - Transport public,Chaleur et biomasse,2017,0.07289656907977518,observe
Energie,Gazole - Transport public,Pétrole,2017,0.9271034309202248,observe
Energie,Gazole - Transport public,Chaleur et biomasse,2018,0.0738255033557047,observe
Energie,Gazole - Transport public,Pétrole,2018,0.9261744966442953,observe
Energie,Gazole - Transport public,Chaleur et biomasse,2019,0.0738255033557047,observe
Energie,Gazole - Transport public,Pétrole,2019,0.9261744966442953,observe
Energie,Gazole - Transport public,Chaleur et biomasse,2020,0.07754279959718026,observe
Energie,Gazole - Transport public,Pétrole,2020,0.9224572004028199,observe
Energie,Gazole - Transport public,Chaleur et biomasse,2021,0.07754279959718026,observe
Energie,Gazole - Transport public,Pétrole,2021,0.9224572004028199,observe
Energie,Gazole - Transport public,Chaleur et biomasse,2022,0.07754279959718026,observe
Energie,Gazole - Transport public,Pétrole,2022,0.9224572004028199,observe
Energie,Gazole - Transport public,Chaleur et biomasse,2023,0.07754279959718026,observe
Energie,Gazole - Transport public,Pétrole,2023,0.9224572004028199,observe
Energie,Gazole - Transport public,Chaleur et biomasse,2024*,0.07754279959718026,observe
Energie,Gazole - Transport public,Pétrole,2024*,0.9224572004028199,observe
Energie,Gazole - transport routier,Chaleur et biomasse,2017,0.07918353411820862,observe
Energie,Gazole - transport routier,Pétrole,2017,0.9208164658817913,observe
Energie,Gazole - transport routier,Chaleur et biomasse,2018,0.0785355855059524,observe
Energie,Gazole - transport routier,Pétrole,2018,0.9214644144940476,observe
Energie,Gazole - transport routier,Chaleur et biomasse,2019,0.0803902469544363,observe
Energie,Gazole - transport routier,Pétrole,2019,0.9196097530455636,observe
Energie,Gazole - transport routier,Chaleur et biomasse,2020,0.07420333760027024,observe
Energie,Gazole - transport routier,Pétrole,2020,0.9257966623997298,observe
Energie,Gazole - transport routier,Chaleur et biomasse,2021,0.07217648407462125,observe
Energie,Gazole - transport routier,Pétrole,2021,0.9278235159253787,observe
Energie,Gazole - transport routier,Chaleur et biomasse,2022,0.07267899998456738,observe
Energie,Gazole - transport routier,Pétrole,2022,0.9273210000154325,observe
Energie,Gazole - transport routier,Chaleur et biomasse,2023,0.0707164626897288,observe
Energie,Gazole - transport routier,Pétrole,2023,0.9292835373102712,observe
Energie,Gazole - transport routier,Chaleur et biomasse,2024*,0.0707164626897288,observe
Energie,Gazole - transport routier,Pétrole,2024*,0.9292835373102712,observe
Energie,Gazole Non Routier,Pétrole,,1.0,observe
Energie,Gazole Non Routier - Agriculture,Pétrole,,1.0,observe
Energie,Gazole Non Routier - Double usage,Pétrole,,1.0,observe
Energie,Gazole Non Routier - Prod. min. non métalliques,Pétrole,,1.0,observe
Energie,Installations hyper-électro-intensives,Électricité,,1.0,observe
Energie,Kerosene - Aéronefs,Pétrole,,1.0,observe
Energie,Kerosene - Carburant avions,Pétrole,,1.0,observe
Energie,Kerosene combustible,Pétrole,,1.0,observe
Energie,Pertes réseau,Électricité,,1.0,intitule
Energie,"Transport de personnes et de marchandises par train, métro, tramway, câble et trolleybus",Électricité,,1.0,observe
