plf;numero;impot;perimetre;libelle;finalite;creation;modification;fin_fait_generateur;fin_incidence;beneficiaires;fiabilite;norme;methode;reference;mission;changement_methode;regime;page_source
2023;800211;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Tarif réduit pour les produits énergétiques (hors gaz naturels et charbons) utilisés dans les installations grandes consommatrices d’énergie exerçant une activité considérée comme fortement exposée à la concurrence internationale (niveau d'intensité énergétique au moins égal à 3 % en valeur de production ou 0,5 % en valeur ajoutée);Aider certains secteurs industriels;2014;2014;non borné;non bornée;Non déterminé;Bonne;Absence de tarif réduit;Reconstitution de base taxable à partir de données déclaratives fiscales;code des douanes 265 nonies (3è al.) (abrogé) - CIBS L. 312-75 et L. 312-77;Écologie, développement et mobilité durables/ P174 Énergie, climat et après-mines;;C;92
2024;800211;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Tarif réduit pour les produits énergétiques (hors gaz naturels et charbons) utilisés dans les installations grandes consommatrices d’énergie exerçant une activité considérée comme fortement exposée à la concurrence internationale (niveau d'intensité énergétique au moins égal à 3 % en valeur de production ou 0,5 % en valeur ajoutée);Aider certains secteurs industriels;2014;2023;2023;2023;Non déterminé;Bonne;Absence de tarif réduit;Reconstitution de base taxable à partir de données déclaratives fiscales;code des impositions sur les biens et les services L. 312-75 et L. 312-77;Écologie, développement et mobilité durables/ P174 Énergie, climat et après-mines;;C;92
2025;800211;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Tarif réduit pour les produits énergétiques (hors gaz naturels et charbons) utilisés dans les installations grandes consommatrices d’énergie exerçant une activité considérée comme fortement exposée à la concurrence internationale (niveau d'intensité énergétique au moins égal à 3 % en valeur de production ou 0,5 % en valeur ajoutée);Aider certains secteurs industriels;2014;2024;2023;2023;Non déterminé;Bonne;Absence de tarif réduit;Reconstitution de base taxable à partir de données déclaratives fiscales;code des impositions sur les biens et les services L. 312-75 et L. 312-77;Écologie, développement et mobilité durables/ P174 Énergie, climat et après-mines;;C;92
2017;800212;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Tarif réduit applicable au supercarburant d'une teneur en plomb n'excédant pas 0,005 g/litre, autre que les supercarburants correspondant aux indices d'identification 11 et 11 bis, et contenant jusqu'à 10% volume/volume d'éthanol, 22% volume/volume d'éthers contenant 5 atomes de carbone, ou plus, par molécule et d'une teneur en oxygène maximale de 3,7% en masse/masse d'oxygène;;2015;2015;dépense fiscale non-bornée;dépense fiscale non-bornée;0 entreprises;Ordre de grandeur;;Reconstitution de base taxable à partir de données autres que fiscales;265 (tableau B) Détaxe;Écologie, développement et mobilité durables / Énergie, climat et après-mines (P174);;B;162
2018;800212;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Tarif réduit applicable au supercarburant d'une teneur en plomb n'excédant pas 0,005 g/litre autre que les supercarburants correspondant aux indices d'identification 11 et 11 bis, et contenant jusqu'à 10% volume/volume d'éthanol, 22% volume/volume d'éthers contenant 5 atomes de carbone, ou plus, par molécule et d'une teneur en oxygène maximale de 3,7% en masse/masse d'oxygène;;2015;2015;dépense fiscale non-bornée;dépense fiscale non-bornée;(nombre non déterminé) entreprises;Ordre de grandeur;;Reconstitution de base taxable à partir de données autres que fiscales;265 (tableau B);Écologie, développement et mobilité durables / Énergie, climat et après-mines (P174);;B;156
2019;800212;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Tarif réduit de taxe intérieure de consommation pour l'E10, carburant essence pouvant contenir jusqu’à 10 % d’éthanol;;2015;2015;dépense fiscale non-bornée;dépense fiscale non-bornée;(nombre non déterminé) entreprises;Ordre de grandeur;;Reconstitution de base taxable à partir de données autres que fiscales;265-1-tableau B-1°(indice 11 ter);Écologie, développement et mobilité durables / Énergie, climat et après-mines (P174);;B;164
2020;800212;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Tarif réduit de taxe intérieure de consommation pour l'E10, carburant essence pouvant contenir jusqu’à 10 % d’éthanol;;2015;2015;non borné;non bornée;Non déterminé;Ordre de grandeur;Absence de tarif réduit;Reconstitution de base taxable à partir de données autres que fiscales;"code des douanes ""Non codifié"" 265-1-tableau B-1°(indice 11 ter)";Écologie, développement et mobilité durables/ P174 Énergie, climat et après-mines;;C;
2021;800212;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Tarif réduit pour l'E10, carburant essence pouvant contenir jusqu’à 10 % d’éthanol;;2015;2015;non borné;non bornée;Non déterminé;Ordre de grandeur;Absence de tarif réduit;Reconstitution de base taxable à partir de données autres que fiscales;code des douanes 265-1-tableau B-1°(indice 11 ter);;;C;92
2022;800212;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Tarif réduit pour l'E10, carburant essence pouvant contenir jusqu’à 10 % d’éthanol;;2015;2015;non borné;non bornée;Non déterminé;Ordre de grandeur;Absence de tarif réduit;Reconstitution de base taxable à partir de données autres que fiscales;code des douanes 265-1-tableau B-1°(indice 11 ter);;;C;92
2023;800212;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Tarif particulier pour l'E10, carburant essence pouvant contenir jusqu’à 10 % d’éthanol;;2015;2015;non borné;non bornée;Non déterminé;Ordre de grandeur;Absence de tarif particulier;Reconstitution de base taxable à partir de données autres que fiscales;code des douanes 265-1-tableau B-1°(indice 11 ter) (abrogé) - CIBS L. 312-79 et L. 312-83;Écologie, développement et mobilité durables/ P174 Énergie, climat et après-mines;;C;92
2024;800212;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Tarif particulier pour l'E10, carburant essence pouvant contenir jusqu’à 10 % d’éthanol;;2015;2015;non borné;non bornée;Non déterminé;Ordre de grandeur;Absence de tarif particulier;Reconstitution de base taxable à partir de données autres que fiscales;code des impositions sur les biens et les services L. 312-79 et L. 312-83;Écologie, développement et mobilité durables/ P174 Énergie, climat et après-mines;;C;92
2025;800212;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Tarif particulier pour l'E10, carburant essence pouvant contenir jusqu’à 10 % d’éthanol;;2015;2015;non borné;non bornée;Non déterminé;Ordre de grandeur;Absence de tarif particulier;Reconstitution de base taxable à partir de données autres que fiscales;code des impositions sur les biens et les services L. 312-79 et L. 312-83;Écologie, développement et mobilité durables/ P174 Énergie, climat et après-mines;;C;92
2018;800213;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Taux réduit de taxe intérieure de consommation applicable au gaz naturel à l’état gazeux destiné à être utilisé comme carburant;;2016;2016;dépense fiscale non-bornée;dépense fiscale non-bornée;(nombre non déterminé) entreprises et ménages;Ordre de grandeur;;Reconstitution de base taxable à partir de données autres que fiscales;265 (tableau B);Écologie, développement et mobilité durables / Infrastructures et services de transports (P203);;B;156
2019;800213;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Taux réduit de taxe intérieure de consommation applicable au gaz naturel à l’état gazeux destiné à être utilisé comme carburant;;2016;2016;dépense fiscale non-bornée;dépense fiscale non-bornée;(nombre non déterminé) entreprises et ménages;Ordre de grandeur;;Reconstitution de base taxable à partir de données autres que fiscales;265 (tableau B);Écologie, développement et mobilité durables / Infrastructures et services de transports (P203);;B;164
2018;800214;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Taux réduit de taxe intérieure de consommation applicable au carburant constitué d’un mélange d’au minimum 90 % d’alcool éthylique d’origine agricole, d’eau et d’additifs favorisant l’auto-inflammation et la lubrification, destiné à l’alimentation de moteurs thermiques à allumage par compression;;2016;2016;dépense fiscale non-bornée;dépense fiscale non-bornée;0 entreprises;Bonne;;Reconstitution de base taxable à partir de données autres que fiscales;265 (tableau B) Détaxe;Écologie, développement et mobilité durables / Infrastructures et services de transports (P203);;B;156
2019;800214;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Tarif réduit de taxe intérieure sur la consommation pour le carburant ED95, carburant diese comportant entre 90 % et 95 % d’éthanol;;2016;2016;dépense fiscale non-bornée;dépense fiscale non-bornée;(nombre non déterminé) entreprises;Bonne;;Reconstitution de base taxable à partir de données autres que fiscales;265-1-tableau B-1° (indice 56);Écologie, développement et mobilité durables / Infrastructures et services de transports (P203);;B;164
2020;800214;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Tarif réduit de taxe intérieure sur la consommation pour le carburant ED95, carburant diesel comportant entre 90 % et 95 % d’éthanol;;2016;2016;non borné;non bornée;Non déterminé;Bonne;Absence de tarif réduit;Reconstitution de base taxable à partir de données autres que fiscales;"code des douanes ""Non codifié"" 265-1-tableau B-1° (indice 56)";Écologie, développement et mobilité durables/ P203 Infrastructures et services de transports;;C;
2021;800214;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Tarif réduit pour le carburant ED95, carburant diesel comportant entre 90 % et 95 % d’éthanol;;2016;2016;non borné;non bornée;Non déterminé;Bonne;Absence de tarif réduit;Reconstitution de base taxable à partir de données autres que fiscales;code des douanes 265-1-tableau B-1° (indice 56);;;C;92
2022;800214;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Tarif réduit pour le carburant ED95, carburant diesel comportant entre 90 % et 95 % d’éthanol;;2016;2016;non borné;non bornée;Non déterminé;Bonne;Absence de tarif réduit;Reconstitution de base taxable à partir de données autres que fiscales;code des douanes 265-1-tableau B-1° (indice 56);;;C;92
2023;800214;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Tarif particulier pour le carburant ED95, carburant diesel comportant entre 90 % et 95 % d’éthanol;;2016;2016;non borné;non bornée;Non déterminé;Bonne;Absence de tarif particulier;Reconstitution de base taxable à partir de données autres que fiscales;code des douanes 265-1-tableau B-1° (indice 56) (abrogé) - CIBS L. 312-79 et L. 312-80;Écologie, développement et mobilité durables/ P203 Infrastructures et services de transports;;C;92
2024;800214;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Tarif particulier pour le carburant ED95, carburant diesel comportant entre 90 % et 95 % d’éthanol;;2016;2016;non borné;non bornée;Non déterminé;Bonne;Absence de tarif particulier;Reconstitution de base taxable à partir de données autres que fiscales;code des impositions sur les biens et les services L. 312-79 et L. 312-80;Écologie, développement et mobilité durables/ P203 Infrastructures et services de transports;;C;92
2025;800214;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Tarif particulier pour le carburant ED95, carburant diesel comportant entre 90 % et 95 % d’éthanol;;2016;2016;non borné;non bornée;Non déterminé;Bonne;Absence de tarif particulier;Reconstitution de base taxable à partir de données autres que fiscales;code des impositions sur les biens et les services L. 312-79 et L. 312-80;Écologie, développement et mobilité durables/ P203 Infrastructures et services de transports;;C;92
2019;800215;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Taux réduit de taxe intérieure sur la consommation pour le B100, carburant diesel synthétis à partir d'acides gras;;2017;2017;;;(nombre non déterminé) entreprises;;;Simulation;265-1 tableau B 1°;Écologie, développement et mobilité durables / Énergie, climat et après-mines (P174);;B;164
2020;800215;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Taux réduit de taxe intérieure sur la consommation pour le B100, carburant diesel synthétisé à partir d'acides gras;;2017;2017;non borné;non bornée;Non déterminé;Bonne;Absence de tarif réduit;Reconstitution de base taxable à partir de données autres que fiscales;"code des douanes ""Non codifié"" 265-1 tableau B 1°";Écologie, développement et mobilité durables/ P174 Énergie, climat et après-mines;;C;
2021;800215;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Tarif réduit pour le B100, carburant diesel synthétisé à partir d'acides gras;;2017;2017;non borné;non bornée;Non déterminé;Bonne;Absence de tarif réduit;Reconstitution de base taxable à partir de données autres que fiscales;code des douanes 265-1 tableau B 1°;;;C;92
