numero;annee;impot;prevu;realise;ecart
730231;2021;Taxe sur la valeur ajoutée;490;275;-215
120202;2023;Impôt sur le revenu;1820;1605;-215
110201;2024;Impôt sur le revenu;1777;1990;213
800211;2017;TICPE / produits énergétiques hors gaz et charbons;220;8;-212
730207;2023;Taxe sur la valeur ajoutée;382;171;-211
730208;2001;Taxe sur la valeur ajoutée;250;40;-210
800106;2001;TICPE / produits énergétiques hors gaz et charbons;245;35;-210
120114;2009;Impôt sur le revenu;590;800;210
120202;2014;Impôt sur le revenu;1950;2160;210
800109;2014;TICPE / produits énergétiques hors gaz et charbons;2700;2490;-210
730221;2018;Taxe sur la valeur ajoutée;2683;2892;209
820204;2022;TICFE / électricité;230;21;-209
110222;2003;Impôt sur le revenu;125;330;205
730210;2004;Taxe sur la valeur ajoutée;880;675;-205
110203;2024;Impôt sur le revenu;1534;1737;203
110215;2005;Impôt sur le revenu;420;220;-200
140102;2006;Impôt sur le revenu;440;240;-200
730216;2007;Taxe sur la valeur ajoutée;300;100;-200
140302;2008;Impôt sur le revenu;200;0;-200
190101;2008;Impôt sur le revenu;500;700;200
210319;2008;Impôt sur le revenu et impôt sur les sociétés;300;100;-200
120202;2009;Impôt sur le revenu;1700;1500;-200
150708;2009;Impôt sur le revenu;200;400;200
730210;2009;Taxe sur la valeur ajoutée;800;1000;200
150708;2010;Impôt sur le revenu;300;100;-200
520110;2010;Droits d'enregistrement et de timbre;300;500;200
120138;2012;Impôt sur le revenu;20;220;200
520119;2012;Droits d'enregistrement et de timbre;200;400;200
150201;2013;Impôt sur le revenu;260;60;-200
730221;2014;Taxe sur la valeur ajoutée;2490;2290;-200
200302;2019;Impôt sur le revenu et impôt sur les sociétés;6200;6400;200
300102;2020;Impôt sur les sociétés;1160;960;-200
830201;2024;TICGN / gaz naturels;872;673;-199
410204;2001;Autres impôts directs;240;42;-198
140105;2001;Impôt sur le revenu;230;33;-197
140106;2001;Impôt sur le revenu;230;33;-197
140119;2016;Impôt sur le revenu;1727;1530;-197
110107;2001;Impôt sur le revenu;230;35;-195
110211;2001;Impôt sur le revenu;230;35;-195
120203;2005;Impôt sur le revenu;210;15;-195
210319;2012;Impôt sur le revenu et impôt sur les sociétés;285;90;-195
730233;2022;Taxe sur la valeur ajoutée;370;175;-195
130203;2001;Impôt sur le revenu;230;36;-194
730221;2016;Taxe sur la valeur ajoutée;2350;2544;194
820201;2022;TICFE / électricité;250;56;-194
400202;2012;Autres impôts directs;511;318;-193
200304;2001;Impôt sur le revenu et impôt sur les sociétés;220;28;-192
730209;2001;Taxe sur la valeur ajoutée;220;30;-190
190101;2005;Impôt sur le revenu;690;500;-190
120136;2010;Impôt sur le revenu;1200;1390;190
730205;2012;Taxe sur la valeur ajoutée;1000;810;-190
120401;2015;Impôt sur le revenu;4220;4030;-190
210309;2016;Impôt sur le revenu et impôt sur les sociétés;740;930;190
730213;2019;Taxe sur la valeur ajoutée;3200;3390;190
200302;2023;Impôt sur le revenu et impôt sur les sociétés;7061;7251;190
190204;2002;Impôt sur le revenu;152;340;188
120203;2004;Impôt sur le revenu;200;15;-185
210319;2010;Impôt sur le revenu et impôt sur les sociétés;100;285;185
110247;2013;Impôt sur le revenu;1465;1650;185
800403;2015;TICPE / produits énergétiques hors gaz et charbons;560;375;-185
110106;2003;Impôt sur le revenu;184;0;-184
140102;2013;Impôt sur le revenu;410;593;183
110246;2009;Impôt sur le revenu;1500;1682;182
200212;2001;Impôt sur le revenu et impôt sur les sociétés;190;9;-181
730221;2015;Taxe sur la valeur ajoutée;2490;2309;-181
120109;2021;Impôt sur le revenu;415;234;-181
210311;2006;Impôt sur le revenu et impôt sur les sociétés;450;270;-180
130208;2007;Impôt sur le revenu;400;220;-180
190208;2007;Impôt sur le revenu;20;200;180
120136;2008;Impôt sur le revenu;400;220;-180
520119;2008;Droits d'enregistrement et de timbre;10;190;180
120138;2011;Impôt sur le revenu;20;200;180
800101;2011;TICPE / produits énergétiques hors gaz et charbons;98;278;180
800109;2012;TICPE / produits énergétiques hors gaz et charbons;2500;2680;180
730219;2014;Taxe sur la valeur ajoutée;520;700;180
120108;2016;Impôt sur le revenu;1260;1440;180
300102;2017;Impôt sur les sociétés;1000;1180;180
210311;2016;Impôt sur le revenu et impôt sur les sociétés;410;231;-179
120501;2024;Impôt sur le revenu;605;427;-178
170301;2001;Impôt sur le revenu;200;23;-177
050101;2017;Impôts locaux;203;26;-177
130208;2005;Impôt sur le revenu;75;250;175
120401;2012;Impôt sur le revenu;3040;3215;175
800216;2023;TICPE / produits énergétiques hors gaz et charbons;256;431;175
800221;2024;TICPE / produits énergétiques hors gaz et charbons;1353;1178;-175
180302;2001;Impôt sur le revenu;220;47;-173
570103;2001;Droits d'enregistrement et de timbre;200;27;-173
160301;2001;Impôt sur le revenu;200;30;-170
300108;2001;Impôt sur les sociétés;200;30;-170
730206;2001;Taxe sur la valeur ajoutée;200;30;-170
110215;2006;Impôt sur le revenu;390;220;-170
730206;2007;Taxe sur la valeur ajoutée;30;200;170
730221;2011;Taxe sur la valeur ajoutée;3130;3300;170
110247;2012;Impôt sur le revenu;1825;1995;170
130208;2013;Impôt sur le revenu;455;285;-170
730213;2016;Taxe sur la valeur ajoutée;3280;3450;170
